label	entity_id	ssid
Nephrotic syndrome	http://purl.obolibrary.org/obo/HP_0000100	[5, 7, 1, 5, 0]
Polyuria	http://purl.obolibrary.org/obo/HP_0000103	[2, 7, 7, 0, 0]
Renal agenesis	http://purl.obolibrary.org/obo/HP_0000104	[7, 7, 2, 9, 0]
Enlarged kidney	http://purl.obolibrary.org/obo/HP_0000105	[2, 6, 9, 6, 0]
Renal cyst	http://purl.obolibrary.org/obo/HP_0000107	[5, 7, 5, 6, 0]
Renal corticomedullary cysts	http://purl.obolibrary.org/obo/HP_0000108	[5, 7, 5, 6, 8]
Renal dysplasia	http://purl.obolibrary.org/obo/HP_0000110	[6, 7, 1, 6]
Renal juxtaglomerular cell hypertrophy/hyperplasia	http://purl.obolibrary.org/obo/HP_0000111	[5, 7, 5, 2, 0]
Nephropathy	http://purl.obolibrary.org/obo/HP_0000112	[5, 7, 1, 9, 1]
Polycystic kidney dysplasia	http://purl.obolibrary.org/obo/HP_0000113	[5, 7, 5, 5, 1]
Proximal tubulopathy	http://purl.obolibrary.org/obo/HP_0000114	[5, 7, 5, 9, 1]
Renal phosphate wasting	http://purl.obolibrary.org/obo/HP_0000117	[1, 9, 5, 0]
Phenotypic abnormality	http://purl.obolibrary.org/obo/HP_0000118	[6, 1, 7, 4, 0]
Abnormality of the genitourinary system	http://purl.obolibrary.org/obo/HP_0000119	[6, 2, 7, 9]
Nephrocalcinosis	http://purl.obolibrary.org/obo/HP_0000121	[5, 7, 3, 8, 0]
Unilateral renal agenesis	http://purl.obolibrary.org/obo/HP_0000122	[5, 7, 5, 7, 0]
Nephritis	http://purl.obolibrary.org/obo/HP_0000123	[5, 7, 1, 9, 2]
Renal tubular dysfunction	http://purl.obolibrary.org/obo/HP_0000124	[1, 9, 0, 0]
Pelvic kidney	http://purl.obolibrary.org/obo/HP_0000125	[5, 2, 6, 7]
Hydronephrosis	http://purl.obolibrary.org/obo/HP_0000126	[5, 7, 5, 3, 1]
Renal salt wasting	http://purl.obolibrary.org/obo/HP_0000127	[7, 9, 3, 5]
Renal potassium wasting	http://purl.obolibrary.org/obo/HP_0000128	[1, 9, 2, 0]
Abnormality of the uterus	http://purl.obolibrary.org/obo/HP_0000130	[6, 7, 3, 0, 0]
Uterine leiomyoma	http://purl.obolibrary.org/obo/HP_0000131	[5, 6, 1, 1, 0]
Menorrhagia	http://purl.obolibrary.org/obo/HP_0000132	[5, 9, 8, 4, 0]
Gonadal dysgenesis	http://purl.obolibrary.org/obo/HP_0000133	[7, 3, 7, 4, 0]
Female hypogonadism	http://purl.obolibrary.org/obo/HP_0000134	[7, 3, 1, 0, 2]
Hypogonadism	http://purl.obolibrary.org/obo/HP_0000135	[7, 3, 1, 0, 3]
Bifid uterus	http://purl.obolibrary.org/obo/HP_0000136	[4, 8, 1, 8, 0]
Abnormality of the ovary	http://purl.obolibrary.org/obo/HP_0000137	[6, 2, 9, 0]
Ovarian cyst	http://purl.obolibrary.org/obo/HP_0000138	[5, 6, 1, 2, 0]
Uterine prolapse	http://purl.obolibrary.org/obo/HP_0000139	[4, 8, 1, 8, 1]
Abnormality of the menstrual cycle	http://purl.obolibrary.org/obo/HP_0000140	[6, 2, 9, 1]
Amenorrhea	http://purl.obolibrary.org/obo/HP_0000141	[7, 3, 0, 0, 0]
Abnormal vagina morphology	http://purl.obolibrary.org/obo/HP_0000142	[6, 2, 7, 3]
Rectovaginal fistula	http://purl.obolibrary.org/obo/HP_0000143	[4, 8, 9, 5, 0]
Decreased fertility	http://purl.obolibrary.org/obo/HP_0000144	[7, 3, 1, 2, 0]
Transverse vaginal septum	http://purl.obolibrary.org/obo/HP_0000145	[4, 8, 9, 3, 0]
Polycystic ovaries	http://purl.obolibrary.org/obo/HP_0000147	[3, 6, 9, 0]
Vaginal atresia	http://purl.obolibrary.org/obo/HP_0000148	[7, 3, 8, 1, 0]
Ovarian gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000149	[5, 8, 7, 3, 1]
Gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000150	[5, 8, 7, 3, 2]
Aplasia of the uterus	http://purl.obolibrary.org/obo/HP_0000151	[7, 3, 9, 5]
Abnormality of head or neck	http://purl.obolibrary.org/obo/HP_0000152	[6, 1, 6, 2, 0]
Abnormality of the mouth	http://purl.obolibrary.org/obo/HP_0000153	[6, 5, 2, 5, 0]
Wide mouth	http://purl.obolibrary.org/obo/HP_0000154	[4, 2, 2, 1, 0]
Oral ulcer	http://purl.obolibrary.org/obo/HP_0000155	[5, 9, 7, 1, 0]
Abnormality of the tongue	http://purl.obolibrary.org/obo/HP_0000157	[6, 5, 7, 1, 0]
Macroglossia	http://purl.obolibrary.org/obo/HP_0000158	[2, 6, 9, 5, 1]
Abnormal lip morphology	http://purl.obolibrary.org/obo/HP_0000159	[6, 5, 2, 5, 1]
Narrow mouth	http://purl.obolibrary.org/obo/HP_0000160	[7, 0, 4, 0, 0]
Median cleft upper lip	http://purl.obolibrary.org/obo/HP_0000161	[4, 7, 1, 0]
Glossoptosis	http://purl.obolibrary.org/obo/HP_0000162	[4, 2, 5, 0]
Abnormal oral cavity morphology	http://purl.obolibrary.org/obo/HP_0000163	[6, 5, 2, 5, 2]
Abnormality of the dentition	http://purl.obolibrary.org/obo/HP_0000164	[6, 5, 0, 8]
Severe periodontitis	http://purl.obolibrary.org/obo/HP_0000166	[5, 3, 8, 6, 0]
Abnormality of the gingiva	http://purl.obolibrary.org/obo/HP_0000168	[6, 5, 2, 8, 0]
Gingival fibromatosis	http://purl.obolibrary.org/obo/HP_0000169	[5, 9, 7, 7, 0]
Microglossia	http://purl.obolibrary.org/obo/HP_0000171	[4, 2, 5, 4]
Abnormal uvula morphology	http://purl.obolibrary.org/obo/HP_0000172	[6, 5, 7, 4, 0]
Abnormal palate morphology	http://purl.obolibrary.org/obo/HP_0000174	[6, 5, 2, 3, 0]
Cleft palate	http://purl.obolibrary.org/obo/HP_0000175	[4, 7, 6, 8, 0]
Submucous cleft hard palate	http://purl.obolibrary.org/obo/HP_0000176	[4, 7, 0, 0]
Abnormal upper lip morphology	http://purl.obolibrary.org/obo/HP_0000177	[6, 5, 6, 0, 0]
Abnormal lower lip morphology	http://purl.obolibrary.org/obo/HP_0000178	[6, 5, 6, 0, 1]
Thick lower lip vermilion	http://purl.obolibrary.org/obo/HP_0000179	[4, 4, 1, 6, 0]
Lobulated tongue	http://purl.obolibrary.org/obo/HP_0000180	[4, 2, 5, 1, 0]
Movement abnormality of the tongue	http://purl.obolibrary.org/obo/HP_0000182	[6, 5, 7, 1, 1]
Tongue muscle weakness	http://purl.obolibrary.org/obo/HP_0000183	[0, 1, 1, 1, 0]
Cleft soft palate	http://purl.obolibrary.org/obo/HP_0000185	[4, 7, 6, 1, 0]
Broad alveolar ridges	http://purl.obolibrary.org/obo/HP_0000187	[4, 2, 2, 0, 0]
Short upper lip	http://purl.obolibrary.org/obo/HP_0000188	[4, 4, 1, 9]
Narrow palate	http://purl.obolibrary.org/obo/HP_0000189	[7, 0, 4, 5, 0]
Abnormal oral frenulum morphology	http://purl.obolibrary.org/obo/HP_0000190	[6, 5, 1, 0, 0]
Accessory oral frenulum	http://purl.obolibrary.org/obo/HP_0000191	[4, 2, 1, 2, 0]
Bifid uvula	http://purl.obolibrary.org/obo/HP_0000193	[4, 2, 4, 0]
Open mouth	http://purl.obolibrary.org/obo/HP_0000194	[4, 2, 0, 0]
Lower lip pit	http://purl.obolibrary.org/obo/HP_0000196	[4, 4, 1, 5, 0]
Abnormal parotid gland morphology	http://purl.obolibrary.org/obo/HP_0000197	[6, 5, 7, 5, 0]
Absence of Stensen duct	http://purl.obolibrary.org/obo/HP_0000198	[7, 7, 4, 2, 0]
Tongue nodules	http://purl.obolibrary.org/obo/HP_0000199	[5, 6, 2, 4, 0]
Short lingual frenulum	http://purl.obolibrary.org/obo/HP_0000200	[7, 0, 4, 8]
Pierre-Robin sequence	http://purl.obolibrary.org/obo/HP_0000201	[4, 2, 3, 9]
Orofacial cleft	http://purl.obolibrary.org/obo/HP_0000202	[4, 7, 8, 0]
Cleft upper lip	http://purl.obolibrary.org/obo/HP_0000204	[4, 7, 1, 1]
Pursed lips	http://purl.obolibrary.org/obo/HP_0000205	[4, 4, 1, 1, 0]
Glossitis	http://purl.obolibrary.org/obo/HP_0000206	[0, 1, 1, 0]
Triangular mouth	http://purl.obolibrary.org/obo/HP_0000207	[4, 2, 3, 0, 0]
Trismus	http://purl.obolibrary.org/obo/HP_0000211	[0, 1, 4, 3]
Gingival overgrowth	http://purl.obolibrary.org/obo/HP_0000212	[2, 6, 1, 2, 0]
Lip telangiectasia	http://purl.obolibrary.org/obo/HP_0000214	[4, 4, 7, 1, 0]
Thick upper lip vermilion	http://purl.obolibrary.org/obo/HP_0000215	[3, 6, 4, 3, 0]
Broad secondary alveolar ridge	http://purl.obolibrary.org/obo/HP_0000216	[4, 2, 2, 0, 1]
Xerostomia	http://purl.obolibrary.org/obo/HP_0000217	[7, 8, 5, 0, 0]
High palate	http://purl.obolibrary.org/obo/HP_0000218	[4, 2, 1, 8, 0]
Thin upper lip vermilion	http://purl.obolibrary.org/obo/HP_0000219	[7, 0, 6, 2, 0]
Velopharyngeal insufficiency	http://purl.obolibrary.org/obo/HP_0000220	[7, 8, 9, 4, 0]
Furrowed tongue	http://purl.obolibrary.org/obo/HP_0000221	[4, 2, 5, 2, 0]
Gingival hyperkeratosis	http://purl.obolibrary.org/obo/HP_0000222	[2, 6, 3, 9]
Abnormality of taste sensation	http://purl.obolibrary.org/obo/HP_0000223	[6, 5, 7, 8, 0]
Hypogeusia	http://purl.obolibrary.org/obo/HP_0000224	[7, 8, 5, 0, 1]
Gingival bleeding	http://purl.obolibrary.org/obo/HP_0000225	[5, 9, 8, 0, 0]
Tongue telangiectasia	http://purl.obolibrary.org/obo/HP_0000227	[4, 2, 5, 3]
Oral cavity telangiectasia	http://purl.obolibrary.org/obo/HP_0000228	[4, 2, 1, 1, 0]
Gingivitis	http://purl.obolibrary.org/obo/HP_0000230	[5, 9, 7, 7, 1]
Everted lower lip vermilion	http://purl.obolibrary.org/obo/HP_0000232	[4, 4, 1, 5, 1]
Thin vermilion border	http://purl.obolibrary.org/obo/HP_0000233	[7, 0, 6, 2, 1]
Abnormality of the head	http://purl.obolibrary.org/obo/HP_0000234	[6, 1, 6, 2, 1]
Abnormal cranial suture/fontanelle morphology	http://purl.obolibrary.org/obo/HP_0000235	[6, 5, 6, 8, 0]
Abnormal anterior fontanelle morphology	http://purl.obolibrary.org/obo/HP_0000236	[6, 5, 6, 8, 1]
Small anterior fontanelle	http://purl.obolibrary.org/obo/HP_0000237	[7, 0, 2, 8]
Hydrocephalus	http://purl.obolibrary.org/obo/HP_0000238	[4, 1, 8, 1, 0]
Large fontanelles	http://purl.obolibrary.org/obo/HP_0000239	[4, 1, 5, 0, 0]
Abnormality of skull size	http://purl.obolibrary.org/obo/HP_0000240	[6, 1, 6, 4, 0]
Parietal bossing	http://purl.obolibrary.org/obo/HP_0000242	[4, 1, 0, 5]
Trigonocephaly	http://purl.obolibrary.org/obo/HP_0000243	[4, 1, 4, 3, 0]
Brachyturricephaly	http://purl.obolibrary.org/obo/HP_0000244	[4, 2, 3, 1, 0]
Abnormal paranasal sinus morphology	http://purl.obolibrary.org/obo/HP_0000245	[6, 5, 3, 3, 0]
Sinusitis	http://purl.obolibrary.org/obo/HP_0000246	[5, 9, 0, 4, 0]
Brachycephaly	http://purl.obolibrary.org/obo/HP_0000248	[4, 1, 4, 0, 0]
Dense calvaria	http://purl.obolibrary.org/obo/HP_0000250	[3, 4, 8, 0]
Microcephaly	http://purl.obolibrary.org/obo/HP_0000252	[7, 6, 1, 4, 0, 0]
Progressive microcephaly	http://purl.obolibrary.org/obo/HP_0000253	[7, 6, 1, 4, 8]
Acute sinusitis	http://purl.obolibrary.org/obo/HP_0000255	[5, 9, 0, 4, 1]
Macrocephaly	http://purl.obolibrary.org/obo/HP_0000256	[2, 6, 9, 8, 0]
Wide anterior fontanel	http://purl.obolibrary.org/obo/HP_0000260	[4, 1, 5, 9]
Turricephaly	http://purl.obolibrary.org/obo/HP_0000262	[4, 1, 4, 2, 0]
Oxycephaly	http://purl.obolibrary.org/obo/HP_0000263	[4, 1, 7, 1, 0]
Abnormal mastoid morphology	http://purl.obolibrary.org/obo/HP_0000264	[6, 5, 4, 9]
Mastoiditis	http://purl.obolibrary.org/obo/HP_0000265	[5, 9, 0, 8, 0]
Cranial asymmetry	http://purl.obolibrary.org/obo/HP_0000267	[6, 1, 6, 7]
Dolichocephaly	http://purl.obolibrary.org/obo/HP_0000268	[4, 1, 4, 2, 1]
Prominent occiput	http://purl.obolibrary.org/obo/HP_0000269	[3, 6, 4, 3, 1]
Delayed cranial suture closure	http://purl.obolibrary.org/obo/HP_0000270	[4, 1, 0, 9]
Abnormality of the face	http://purl.obolibrary.org/obo/HP_0000271	[6, 5, 6, 2, 0]
Malar flattening	http://purl.obolibrary.org/obo/HP_0000272	[4, 4, 4, 2, 0]
Facial grimacing	http://purl.obolibrary.org/obo/HP_0000273	[0, 1, 2, 9, 0]
Small face	http://purl.obolibrary.org/obo/HP_0000274	[7, 0, 2, 1, 0]
Narrow face	http://purl.obolibrary.org/obo/HP_0000275	[7, 0, 2, 1, 1]
Long face	http://purl.obolibrary.org/obo/HP_0000276	[4, 4, 5, 1, 0]
Abnormal mandible morphology	http://purl.obolibrary.org/obo/HP_0000277	[6, 5, 2, 1, 0]
Retrognathia	http://purl.obolibrary.org/obo/HP_0000278	[0, 1, 4, 0, 0]
Coarse facial features	http://purl.obolibrary.org/obo/HP_0000280	[7, 0, 2, 6]
Facial edema	http://purl.obolibrary.org/obo/HP_0000282	[0, 4, 8, 0]
Broad face	http://purl.obolibrary.org/obo/HP_0000283	[4, 4, 5, 1, 1]
obsolete Abnormality of the ocular region	http://purl.obolibrary.org/obo/HP_0000284	[6, 1, 2, 0, 0]
Epicanthus	http://purl.obolibrary.org/obo/HP_0000286	[4, 4, 6, 6, 0]
Increased facial adipose tissue	http://purl.obolibrary.org/obo/HP_0000287	[4, 4, 5, 7, 0]
Abnormality of the philtrum	http://purl.obolibrary.org/obo/HP_0000288	[6, 5, 1, 4, 0]
Broad philtrum	http://purl.obolibrary.org/obo/HP_0000289	[4, 2, 2, 9]
Abnormality of the forehead	http://purl.obolibrary.org/obo/HP_0000290	[6, 5, 6, 3, 0]
Abnormality of facial adipose tissue	http://purl.obolibrary.org/obo/HP_0000291	[6, 6, 0, 8, 0]
Loss of facial adipose tissue	http://purl.obolibrary.org/obo/HP_0000292	[7, 0, 2, 3, 0]
Full cheeks	http://purl.obolibrary.org/obo/HP_0000293	[4, 4, 1, 4, 0]
Low anterior hairline	http://purl.obolibrary.org/obo/HP_0000294	[7, 2, 1, 4, 0]
Doll-like facies	http://purl.obolibrary.org/obo/HP_0000295	[4, 4, 5, 0, 0]
Facial hypotonia	http://purl.obolibrary.org/obo/HP_0000297	[0, 1, 2, 9, 1]
Mask-like facies	http://purl.obolibrary.org/obo/HP_0000298	[4, 4, 5, 0, 1]
Oval face	http://purl.obolibrary.org/obo/HP_0000300	[4, 4, 5, 3, 0]
Abnormality of facial musculature	http://purl.obolibrary.org/obo/HP_0000301	[6, 5, 6, 2, 1]
Mandibular prognathia	http://purl.obolibrary.org/obo/HP_0000303	[0, 7, 6, 0]
Abnormality of the chin	http://purl.obolibrary.org/obo/HP_0000306	[6, 5, 2, 9, 0]
Pointed chin	http://purl.obolibrary.org/obo/HP_0000307	[4, 2, 3, 3, 0]
Microretrognathia	http://purl.obolibrary.org/obo/HP_0000308	[7, 6, 3, 1, 0]
Abnormal midface morphology	http://purl.obolibrary.org/obo/HP_0000309	[6, 5, 6, 1, 0]
Round face	http://purl.obolibrary.org/obo/HP_0000311	[4, 4, 5, 3, 1]
Abnormality of the orbital region	http://purl.obolibrary.org/obo/HP_0000315	[6, 5, 8, 9, 0]
Hypertelorism	http://purl.obolibrary.org/obo/HP_0000316	[2, 6, 1, 8, 0]
Facial myokymia	http://purl.obolibrary.org/obo/HP_0000317	[0, 1, 2, 5, 0]
Smooth philtrum	http://purl.obolibrary.org/obo/HP_0000319	[4, 2, 3, 8, 0]
Bird-like facies	http://purl.obolibrary.org/obo/HP_0000320	[4, 4, 5, 0, 2]
Square face	http://purl.obolibrary.org/obo/HP_0000321	[4, 4, 5, 3, 2]
Short philtrum	http://purl.obolibrary.org/obo/HP_0000322	[7, 0, 4, 9, 0]
Facial asymmetry	http://purl.obolibrary.org/obo/HP_0000324	[6, 5, 6, 2, 2]
Triangular face	http://purl.obolibrary.org/obo/HP_0000325	[4, 4, 5, 3, 3]
Abnormal maxilla morphology	http://purl.obolibrary.org/obo/HP_0000326	[6, 5, 2, 1, 1]
Hypoplasia of the maxilla	http://purl.obolibrary.org/obo/HP_0000327	[7, 0, 4, 3, 0]
Facial hemangioma	http://purl.obolibrary.org/obo/HP_0000329	[4, 4, 7, 5, 0]
Short chin	http://purl.obolibrary.org/obo/HP_0000331	[7, 0, 4, 0, 1]
Prominent supraorbital ridges	http://purl.obolibrary.org/obo/HP_0000336	[4, 4, 4, 5, 0]
Broad forehead	http://purl.obolibrary.org/obo/HP_0000337	[4, 4, 4, 1, 0]
Hypomimic face	http://purl.obolibrary.org/obo/HP_0000338	[7, 0, 2, 1, 2]
Pugilistic facies	http://purl.obolibrary.org/obo/HP_0000339	[4, 4, 5, 0, 3]
Sloping forehead	http://purl.obolibrary.org/obo/HP_0000340	[4, 4, 4, 1, 5]
Narrow forehead	http://purl.obolibrary.org/obo/HP_0000341	[4, 4, 4, 1, 6]
Long philtrum	http://purl.obolibrary.org/obo/HP_0000343	[4, 4, 1, 3, 0]
Whistling appearance	http://purl.obolibrary.org/obo/HP_0000346	[4, 4, 5, 9]
Micrognathia	http://purl.obolibrary.org/obo/HP_0000347	[7, 0, 4, 0, 2]
High forehead	http://purl.obolibrary.org/obo/HP_0000348	[4, 4, 4, 1, 8, 0]
Widow's peak	http://purl.obolibrary.org/obo/HP_0000349	[5, 6, 0, 8, 0, 0]
Small forehead	http://purl.obolibrary.org/obo/HP_0000350	[7, 0, 2, 4, 0]
Abnormality of the outer ear	http://purl.obolibrary.org/obo/HP_0000356	[6, 5, 4, 0, 0]
Abnormal location of ears	http://purl.obolibrary.org/obo/HP_0000357	[6, 5, 4, 0, 1]
Posteriorly rotated ears	http://purl.obolibrary.org/obo/HP_0000358	[4, 0, 1, 0, 0]
Abnormality of the inner ear	http://purl.obolibrary.org/obo/HP_0000359	[6, 1, 9, 2, 0]
Tinnitus	http://purl.obolibrary.org/obo/HP_0000360	[5, 3, 6, 0, 0]
obsolete Pulsatile tinnitus (tympanic paraganglioma)	http://purl.obolibrary.org/obo/HP_0000361	[5, 8, 9, 1, 0]
Otosclerosis	http://purl.obolibrary.org/obo/HP_0000362	[3, 6, 9, 1]
